[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_album` [ RunTime:0.000128s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_album_cate` [ RunTime:0.000127s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_shops` [ RunTime:0.000131s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_shops_sale` [ RunTime:0.000125s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_shops_cate` [ RunTime:0.000123s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_coupon_list` [ RunTime:0.000127s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_coupon_type` [ RunTime:0.000123s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  debug baseAction.class.php 第 50 行.
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  admin_info baseAction.class.php 第 100 行.
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  admin_info baseAction.class.php 第 68 行.
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_group` [ RunTime:0.000245s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | SQL: SELECT `id`,`title` FROM `yjl_j_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000104s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_setting` [ RunTime:0.000141s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | SQL: SELECT * FROM `yjl_j_setting`  [ RunTime:0.000051s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [2] Invalid argument supplied for foreach() baseAction.class.php 第 80 行.
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined variable: set baseAction.class.php 第 83 行.
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  iframe baseAction.class.php 第 88 行.
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_admin` [ RunTime:0.000248s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | SQL: SELECT * FROM `yjl_j_admin` WHERE user_name='admin' LIMIT 1   [ RunTime:0.008111s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined variable: authInfo publicAction.class.php 第 108 行.
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_template ] --START--
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | INFO: Run LocationTemplate Behavior [ RunTime:0.000245s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_template ] --END-- [ RunTime:0.000279s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_parse ] --START--
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | INFO: Run ParseTemplate Behavior [ RunTime:0.017249s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017300s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_filter ] --START--
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | INFO: Run ContentReplace Behavior [ RunTime:0.000234s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | INFO: Run TokenBuild Behavior [ RunTime:0.000236s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000123s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | INFO: Run ShowRuntime Behavior [ RunTime:0.000276s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001008s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_end ] --START--
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | INFO: Run ShowPageTrace Behavior [ RunTime:0.000262s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_end ] --END-- [ RunTime:0.000312s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | INFO: Tag[ app_begin ] --START--
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000372s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000500s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `yjl_j_admin` [ RunTime:0.000443s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `yjl_j_items_cate` [ RunTime:0.000295s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `yjl_j_user` [ RunTime:0.000284s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `yjl_j_album` [ RunTime:0.000252s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `yjl_j_album_cate` [ RunTime:0.000306s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `yjl_j_shops` [ RunTime:0.000265s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `yjl_j_shops_sale` [ RunTime:0.000217s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `yjl_j_shops_cate` [ RunTime:0.000196s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `yjl_j_coupon_list` [ RunTime:0.000183s ]
