[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=panel&m=public | INFO: Tag[ view_template ] --END-- [ RunTime:0.001679s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=panel&m=public | INFO: Tag[ view_parse ] --START--
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=panel&m=public | NOTIC: [8] Undefined variable: sub_menu 987c9db608489a54aaba6faa6bc56bce.php 第 36 行.
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=panel&m=public | NOTIC: [8] Undefined variable: big_menu 987c9db608489a54aaba6faa6bc56bce.php 第 36 行.
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=panel&m=public | INFO: Run ParseTemplate Behavior [ RunTime:0.012566s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=panel&m=public | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012623s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=panel&m=public | INFO: Tag[ view_filter ] --START--
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=panel&m=public | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=panel&m=public | INFO: Run TokenBuild Behavior [ RunTime:0.001065s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=panel&m=public | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000961s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=panel&m=public | INFO: Run ShowRuntime Behavior [ RunTime:0.001064s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=panel&m=public | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004247s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=panel&m=public | INFO: Tag[ view_end ] --START--
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=panel&m=public | INFO: Run ShowPageTrace Behavior [ RunTime:0.001047s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=panel&m=public | INFO: Tag[ view_end ] --END-- [ RunTime:0.001097s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | INFO: Tag[ app_begin ] --START--
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000622s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000750s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_admin` [ RunTime:0.001346s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_items_cate` [ RunTime:0.001558s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_user` [ RunTime:0.001748s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_album` [ RunTime:0.001712s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_album_cate` [ RunTime:0.001990s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_shops` [ RunTime:0.001812s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_shops_sale` [ RunTime:0.002190s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_shops_cate` [ RunTime:0.001541s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_coupon_list` [ RunTime:0.001476s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_coupon_type` [ RunTime:0.002080s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | NOTIC: [8] Undefined index:  debug baseAction.class.php 第 50 行.
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_group` [ RunTime:0.001390s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | SQL: SELECT `id`,`title` FROM `yjl_j_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000191s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_setting` [ RunTime:0.002985s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | SQL: SELECT * FROM `yjl_j_setting`  [ RunTime:0.000749s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | NOTIC: [2] Invalid argument supplied for foreach() baseAction.class.php 第 80 行.
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | NOTIC: [8] Undefined variable: set baseAction.class.php 第 83 行.
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | NOTIC: [8] Undefined index:  iframe baseAction.class.php 第 88 行.
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_admin` [ RunTime:0.001867s ]
[ 2013-06-05T11:50:14+08:00 ] /new/admin.php?a=menu&m=public&tag=0 | SQL: SELECT `role_id` FROM `yjl_j_admin` WHERE id=1 LIMIT 1   [ RunTime:0.000265s ]
