[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | SQL: SELECT COUNT(*) AS tp_count FROM `yjl_supervisors` WHERE profession = 3 LIMIT 1   [ RunTime:0.000217s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | SQL: SELECT yjl_company.name as company,yjl_company.region,yjl_supervisors.* FROM `yjl_supervisors` LEFT JOIN yjl_company ON yjl_company.id = yjl_supervisors.cid WHERE profession = 3 ORDER BY addtime DESC LIMIT 0,1   [ RunTime:0.000186s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | INFO: Tag[ view_template ] --START--
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | INFO: Run LocationTemplate Behavior [ RunTime:0.001144s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001210s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | INFO: Tag[ view_parse ] --START--
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | NOTIC: [8] Undefined variable: web_title 8fc1b62dd067a8ae227fdf05b24233d5.php 第 15 行.
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | NOTIC: [8] Undefined index:  images 8fc1b62dd067a8ae227fdf05b24233d5.php 第 45 行.
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | NOTIC: [8] Undefined index:  images 8fc1b62dd067a8ae227fdf05b24233d5.php 第 45 行.
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | NOTIC: [8] Undefined index:  images 8fc1b62dd067a8ae227fdf05b24233d5.php 第 46 行.
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | NOTIC: [8] Undefined index:  images 8fc1b62dd067a8ae227fdf05b24233d5.php 第 46 行.
